"filename","value","description","acronym","treatment"
"24h_LD_LL_Rep3-ch1.ANA",1549.1,"Time to 1st probe from start of EPG","t_1Pr","LD"
"24h_LD_LL_Rep3-ch1.ANA",1,"Number of probes to the 1st E1","n_Pr.1E1","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of F","n_F","LD"
"24h_LD_LL_Rep3-ch1.ANA",84850.9,"Duration of 1st probe","s_1Pr","LD"
"24h_LD_LL_Rep3-ch1.ANA",NA,"Duration of 2nd probe","s_2Pr","LD"
"24h_LD_LL_Rep3-ch1.ANA",715.99,"Duration of the shortest C wave before E1","mnt_E1inPr","LD"
"24h_LD_LL_Rep3-ch1.ANA",NA,"Duration of 2nd nonprobe period","s_2np","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of F","s_F","LD"
"24h_LD_LL_Rep3-ch1.ANA",1549.1,"Duration of nonprobe period before the first E","s_np.1E","LD"
"24h_LD_LL_Rep3-ch1.ANA",5.84,"Mean duration of pd","a_pd","LD"
"24h_LD_LL_Rep3-ch1.ANA",NA,"Mean duration of pd-L","a_pd-L","LD"
"24h_LD_LL_Rep3-ch1.ANA",5.84,"Mean duration of pd-S","a_pd-S","LD"
"24h_LD_LL_Rep3-ch1.ANA",13,"Average number of pd per probe","n_pd/n_Pr","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Mean duration of F","a_F","LD"
"24h_LD_LL_Rep3-ch1.ANA",2265.09,"Time to 1st E from start of EPG (total duration of EPG recording if E is missing)","t_1Erec","LD"
"24h_LD_LL_Rep3-ch1.ANA",715.99,"Time to 1st E from 1st probe (time from 1st probe to the end of EPG recording if E is missing)","t_1Eexp","LD"
"24h_LD_LL_Rep3-ch1.ANA",715.99,"Time to first E from the beginning of that probe (missing data if E is missing)","t_1EinPr","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of G","n_G","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Duration of G","s_G","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Mean duration of G","a_G","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of probes after 1st E","n_Pr.after1E","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of probes (shorter than 3 minutes) after 1st E","n_bPr.after1E","LD"
"24h_LD_LL_Rep3-ch1.ANA",3,"Number of E1","n_E1","LD"
"24h_LD_LL_Rep3-ch1.ANA",1,"Number of E1 (longer than 10 minutes) followed by E2","n_lE1followedbyE2","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of single E1","n_sgE1","LD"
"24h_LD_LL_Rep3-ch1.ANA",2,"Number of E2","n_E2","LD"
"24h_LD_LL_Rep3-ch1.ANA",1,"Number of sustained E2 (longer than 10 minutes)","n_sE2","LD"
"24h_LD_LL_Rep3-ch1.ANA",542.26,"Duration of first E","d_1E","LD"
"24h_LD_LL_Rep3-ch1.ANA",1.75,"Contribution of E1 to phloem phase (%)","%_E1/E12","LD"
"24h_LD_LL_Rep3-ch1.ANA",995.39,"Duration of E1 followed by first sustained E2 (>10 min)","d_E1followedby1sE2","LD"
"24h_LD_LL_Rep3-ch1.ANA",61.04,"Duration of E1 followed by the first E2","d_E1followedby1E2","LD"
"24h_LD_LL_Rep3-ch1.ANA",98.13,"Potential E2 index","E2index","LD"
"24h_LD_LL_Rep3-ch1.ANA",83973.26,"Total duration of E","s_E","LD"
"24h_LD_LL_Rep3-ch1.ANA",1468.32,"Total duration of E1","s_E1","LD"
"24h_LD_LL_Rep3-ch1.ANA",995.39,"Total duration of E1 followed by sustained E2 (>10 min)","s_E1followedbysE2","LD"
"24h_LD_LL_Rep3-ch1.ANA",1056.43,"Total duration of E1 followed by E2","s_E1followedbyE2","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of single E1","s_sgE1","LD"
"24h_LD_LL_Rep3-ch1.ANA",83561.37,"Duration of E1 followed by E2 and E2","s_E12","LD"
"24h_LD_LL_Rep3-ch1.ANA",82504.94,"Total duration of E2","s_E2","LD"
"24h_LD_LL_Rep3-ch1.ANA",489.44,"Mean duration of E1","a_E1","LD"
"24h_LD_LL_Rep3-ch1.ANA",41252.47,"Mean duration of E2","a_E2","LD"
"24h_LD_LL_Rep3-ch1.ANA",1,"Number of probes","n_Pr","LD"
"24h_LD_LL_Rep3-ch1.ANA",2,"Number of C","n_C","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of short probes (<3 minutes)","n_bPr","LD"
"24h_LD_LL_Rep3-ch1.ANA",1,"Number of np","n_Np","LD"
"24h_LD_LL_Rep3-ch1.ANA",13,"Number of pd","n_pd","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of pd-L","n_pd-L","LD"
"24h_LD_LL_Rep3-ch1.ANA",13,"Number of pd-S","n_pd-S","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of E1e","n_E1e","LD"
"24h_LD_LL_Rep3-ch1.ANA",877.64,"Total duration of C","s_C","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of E1e","s_E1e","LD"
"24h_LD_LL_Rep3-ch1.ANA",2426.74,"Total duration of no phloematic phase","s_nE","LD"
"24h_LD_LL_Rep3-ch1.ANA",1549.1,"Total duration of np","s_np","LD"
"24h_LD_LL_Rep3-ch1.ANA",75.95,"Total duration of pd","s_pd","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of pd-L","s_pd-L","LD"
"24h_LD_LL_Rep3-ch1.ANA",75.95,"Total duration of pd-S","s_pd-S","LD"
"24h_LD_LL_Rep3-ch1.ANA",84850.9,"Total probing time","s_Pr","LD"
"24h_LD_LL_Rep3-ch1.ANA",1549.1,"Mean duration of np","a_Np","LD"
"24h_LD_LL_Rep3-ch1.ANA",438.82,"Mean duration of C","a_C","LD"
"24h_LD_LL_Rep3-ch1.ANA",3964.39,"Time to first sustained E2 (longer than 10 minutes) from start of EPG","t_1sE2.rec","LD"
"24h_LD_LL_Rep3-ch1.ANA",2415.29,"Time to first sustained E2 (longer than 10 minutes) from the first probe","t_1sE2.exp","LD"
"24h_LD_LL_Rep3-ch1.ANA",2415.29,"Time to first sustained E2 (longer than 10 minutes) from that probe","t_1sE2inPr","LD"
"24h_LD_LL_Rep3-ch1.ANA",2326.13,"Time to first E2 from start of EPG","t_1E2.rec","LD"
"24h_LD_LL_Rep3-ch1.ANA",777.03,"Time to first E2 from the first probe","t_1E2.exp","LD"
"24h_LD_LL_Rep3-ch1.ANA",777.03,"Time to first E2 from that probe","t_1E2inPr","LD"
"24h_LD_LL_Rep3-ch1.ANA",1549.1,"Total duration of np during the first hour","s_Np.in1stH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of np during the second hour","s_Np.in2ndH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of np during the third hour","s_Np.in3rdH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of np during the fourth hour","s_Np.in4thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of np during the fifth hour","s_Np.in5thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Total duration of np during the sixth hour","s_Np.in6thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",13,"Number of pd-S during the first hour","n_pd-S.in1stH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of pd-S during the second hour","n_pd-S.in2ndH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of pd-S during the third hour","n_pd-S.in3rdH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of pd-S during the fourth hour","n_pd-S.in4thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of pd-S during the fifth hour","n_pd-S.in5thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Number of pd-S during the sixth hour","n_pd-S.in6thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",5.84,"Average duration of pd-S during the first hour","s_pd-S.in1stH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Average duration of pd-S during the second hour","s_pd-S.in2ndH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Average duration of pd-S during the third hour","s_pd-S.in3ndH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Average duration of pd-S during the fourth hour","s_pd-S.in4thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Average duration of pd-S during the fifth hour","s_pd-S.in5thH","LD"
"24h_LD_LL_Rep3-ch1.ANA",0,"Average duration of pd-S during the sixth hour","s_pd-S.in6thH","LD"
