"filename","value","description","acronym","treatment"
"LL_0zt_7_27_2023-ch4_.ANA",877.23,"Time to 1st probe from start of EPG","t_1Pr","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",1,"Number of probes to the 1st E1","n_Pr.1E1","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",4,"Number of F","n_F","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",9343.99,"Duration of 1st probe","s_1Pr","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",4.93,"Duration of 2nd probe","s_2Pr","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",619.33,"Duration of the shortest C wave before E1","mnt_E1inPr","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",180.43,"Duration of 2nd nonprobe period","s_2np","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",207.75,"Total duration of F","s_F","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",877.23,"Duration of nonprobe period before the first E","s_np.1E","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",5.06,"Mean duration of pd","a_pd","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",NA,"Mean duration of pd-L","a_pd-L","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",5.06,"Mean duration of pd-S","a_pd-S","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",6.38,"Average number of pd per probe","n_pd/n_Pr","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",51.94,"Mean duration of F","a_F","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",1496.56,"Time to 1st E from start of EPG (total duration of EPG recording if E is missing)","t_1Erec","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",619.33,"Time to 1st E from 1st probe (time from 1st probe to the end of EPG recording if E is missing)","t_1Eexp","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",619.33,"Time to first E from the beginning of that probe (missing data if E is missing)","t_1EinPr","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",0,"Number of G","n_G","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",0,"Duration of G","s_G","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",0,"Mean duration of G","a_G","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",7,"Number of probes after 1st E","n_Pr.after1E","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",4,"Number of probes (shorter than 3 minutes) after 1st E","n_bPr.after1E","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",7,"Number of E1","n_E1","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",0,"Number of E1 (longer than 10 minutes) followed by E2","n_lE1followedbyE2","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",1,"Number of single E1","n_sgE1","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",6,"Number of E2","n_E2","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",2,"Number of sustained E2 (longer than 10 minutes)","n_sE2","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",448.47,"Duration of first E","d_1E","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",1,"Contribution of E1 to phloem phase (%)","%_E1/E12","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",28.38,"Duration of E1 followed by first sustained E2 (>10 min)","d_E1followedby1sE2","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",35.38,"Duration of E1 followed by the first E2","d_E1followedby1E2","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",84.38,"Potential E2 index","E2index","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",23241.09,"Total duration of E","s_E","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",231.27,"Total duration of E1","s_E1","ZT0"
"LL_0zt_7_27_2023-ch4_.ANA",86.83,"Total duration of E1 followed by sustained E2 (>10 min)","s_E1followedbysE2","ZT0"
